"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"2463","2","EVEN 2025","47","0","3","End Semester Exam","6","CM231405","1","70","2026-05-08","A","2","12:30:00","14:30:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2464","2","EVEN 2025","47","0","3","End Semester Exam","6","CM231406","0","75","2026-04-30",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2465","3","EVEN 2025","47","0","3","End Semester Exam","6","CM232139","0","2","2026-05-06",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2466","3","EVEN 2025","47","0","3","End Semester Exam","6","CM232140","0","2","2026-04-30",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2467","3","EVEN 2025","47","0","3","End Semester Exam","6","CM232141","0","2","2026-05-08",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2468","3","EVEN 2025","47","0","3","End Semester Exam","6","CM232142","0","1","2026-05-12",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2469","4","EVEN 2025","47","0","3","End Semester Exam","6","CM232145","0","72","2026-04-29",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2470","4","EVEN 2025","47","0","3","End Semester Exam","6","CM232146","0","72","2026-05-07",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2471","4","EVEN 2025","47","0","3","End Semester Exam","6","CM232147","0","75","2026-05-05",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2472","5","EVEN 2025","47","0","3","End Semester Exam","6","CM232402","0","1","2026-04-23",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2473","4","EVEN 2025","47","0","3","End Semester Exam","6","CM232405","0","73","2026-04-27",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2474","4","EVEN 2025","47","0","3","End Semester Exam","6","CM232406","0","73","2026-05-11",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2475","5","EVEN 2025","47","0","3","End Semester Exam","6","CM233117","0","4","2026-05-05",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2476","5","EVEN 2025","47","0","3","End Semester Exam","6","CM233118","0","3","2026-04-29",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2477","5","EVEN 2025","47","0","3","End Semester Exam","6","CM233219","0","2","2026-05-07",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2479","2","EVEN 2025","47","0","3","End Semester Exam","5","IF21235","0","1","2026-04-30",,"1","10:00:00","13:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2480","4","EVEN 2025","47","0","3","End Semester Exam","5","IF21239","0","1","2026-04-29",,"1","10:00:00","13:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2481","5","EVEN 2025","47","0","3","End Semester Exam","5","IF21537","0","1","2026-04-27",,"1","10:00:00","13:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2482","1","EVEN 2025","47","0","3","End Semester Exam","5","IF231101","1","3","2026-05-02","A","3","15:00:00","17:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2483","2","EVEN 2025","47","0","3","End Semester Exam","5","IF231102","1","68","2026-05-11","A","1","10:00:00","12:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2484","1","EVEN 2025","47","0","3","End Semester Exam","5","IF231110","0","6","2026-05-06",,"1","10:00:00","13:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2485","4","EVEN 2025","47","0","3","End Semester Exam","5","IF231302","1","71","2026-05-13","A","3","15:00:00","17:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2486","1","EVEN 2025","47","0","3","End Semester Exam","5","IF231401","0","12","2026-04-23",,"3","14:00:00","17:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2487","2","EVEN 2025","47","0","3","End Semester Exam","5","IF231402","0","68","2026-04-27",,"3","14:00:00","17:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2488","2","EVEN 2025","47","0","3","End Semester Exam","5","IF231404","0","74","2026-04-24",,"1","10:00:00","13:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2489","2","EVEN 2025","47","0","3","End Semester Exam","5","IF231405","1","70","2026-05-08","A","1","10:00:00","12:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2490","2","EVEN 2025","47","0","3","End Semester Exam","5","IF231406","0","72","2026-04-30",,"1","10:00:00","13:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2491","3","EVEN 2025","47","0","3","End Semester Exam","5","IF232139","0","6","2026-05-06",,"3","14:00:00","17:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
